公司名称（全称）,岗位详情,所在城市,薪资区间,岗位名称,BOSS链接,年限要求,学历要求,备注,组长,收集人姓名,父记录,父记录 2,父记录 3,所在区域
建凯网络,"任职要求
1、对AI技术有深刻理解，能够独立进行产品功能规划和设计；
2、具备出色的跨团队沟通能力，能够有效推动项目进展；
3、具有敏锐的市场洞察力，能够快速响应市场变化，调整产品策略。
贾建陆3月内活跃
 建凯网络·技术总监",郑州·金水区,8-9K,ai产品经理,https://www.zhipin.com/job_detail/76592a7f8cd3243b03B63Nq1FlRX.html?securityId=JlHdqz1wAXwNY-I1z6wvoFIJrivgEbquvhrGPv-ixAPyosDQc48TjrhKWySHLBhnBFhYOENHWpV-yZ7D_xk3U5p8u5qTOAuXSGQ3OvBMfdUx4-k82Lx2GNQ6Rtsyva975d0wuxssPf6kukGFspgDke9CS40QhuxmaDISHXMNgWo50ZUbqo3Y4Wzc_0P1LBM5gmm_EzNLedUBn7CB35E19a20QgPZFyLenxH1oLnBdFc9VGCPbnYsWsKXL9Fp8krUFak7Dh7uqv7KZVeSkx52TBpMG-x2t-_DIbXHEsC3nAb_EQ~~&lid=1yCchXqTVeg,3-5年,本科,"区域: 金水区
商圈: 杨金路
领域: 在线教育
性质: 天使轮
规模: 20-99人
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
某知名电子商务公司,"岗位职责
1.AI平台（AI中台）架构与建设：
•设计并主导实现公司统一的机器学习平台/大模型服务平台，覆盖从模型开发、训练、评估、注册、部署、服务化到监控的全生命周期。
•构建高可⽤、可扩展的模型服务架构，⽀持⾼并发、低延迟的在线推理，以及大规模批量预测任务。
•建立模型与数据的版本化、可复现管理体系，确保每⼀次线上服务的迭代都可追溯、可回滚。
2.MLOps流程与工具链打造：
•设计并落地标准化的MLOps工作流，将CI/CD（持续集成/持续部署）理念深度应用于AI领域，实现模型从实验到上线的自动化流水线。
•开发和维护核心平台组件，如：特征平台、向量数据库服务、模型仓库、自动化测试框架、AB测试平台、资源调度与成本核算系统。
3.性能、成本与稳定性保障：
•持续优化模型推理性能与资源利用率，通过模型压缩、量化、服务网格、弹性伸缩等手段，在保障SLA的同时，极致优化GPU等昂贵计算成本。
•建立全方位的模型监控与治理体系，包括服务健康度、性能指标、数据漂移、概念漂移监测，并设置自动告警与干预机制。
任职要求
1.硬性条件：
•计算机相关专业本科及以上学历，5年以上云原生、分布式系统",郑州,30-60K·14薪,AI平台架构师/AI产品经理,https://www.zhipin.com/job_detail/770b50f29ec1c4fc0nZ929u5GVBQ.html?securityId=dVRy-Li008B7J-E1FcbNx8n60zHlAqwDYTGAAvhp2oRNGkc6JwDYhehm4lH_R_yC5lFFp1AuIzKUrlqx6nfUHsRGFaGDotobCyO8vcTIM2aMUWrXmqdXmYH2RD4_lj4CBeaBgYujpWGMl0xEu-4-07eKGJyf8ova36uYWXP5tV9k4SC3fwUVausM0wm2v5MvT5oPIBb9SGW8iso2PoFgcmHn7qbJBTlj7zyqdWHesNmgdf_xlku4w16HdFrG9ZoOE_4RxrCCuQsckNbv7mNRPKCv982Kff7FNsmvOCeX4N0Lvxm0&lid=1yCchXqTVeg,10年以上,本科,"领域: 电子商务
规模: 1000-9999人
技能标签: 微服务架构 容器技术 分布式技术 平台架构 云计算架构 MLOps/LLMOps Kubernetes 云原生技术栈
福利标签: 零食下午茶 生日福利 底薪加提成 团建聚餐 一对一辅导 年终奖 补充医疗保险 节日福利 绩效奖金 带薪年假 股票期权 五险一金
原始经验: 10年以上
原始学历: 本科",41-谭莎,谭莎,,,,
河南钰陇出海企业...,"任职要求
1、具备出色的业务洞察力和逻辑分析能力，能够从复杂的业务场景中提炼产品功能；
2、具有良好的团队协作能力，能够有效地与团队成员合作，推动产品从概念到市场的全过程；
3、对AI技术有深刻理解，能够准确把握技术发展趋势，不断提升产品竞争力。
王先生半年前活跃
 河南钰陇出海企业...·人事经理",郑州·管城回族区,7-12K,ai产品经理,https://www.zhipin.com/job_detail/b194561e6fe5b65d03d-2di5ElpU.html?securityId=6LVxU0wFYiKc9-e1tC4a3lBUXGGlt41_tHDsfM85XqsFNM4dBi3GCX1Ktz558x3KsZoqvp5zRqyr7Zt-Q4zGXmsSsajLQrdKKUcrTryvZ27LXHerkJIqTrflE6tEZKXKShTZtIyuYr5K4Us2AlzmAyu6vt2dk0K1nx72VG2vlrlIcF83Pz6VMsPdQ8_CeHiDebaNbWKWy2oHVWqkOVXxBjunQEETp1N5Fj3se-32J_cVzpF3rW8tC6CV_j59LIGR0OTb5he5PLJREHtRsmyQ1zndWYxX-kfiaEunIWMrvQlr6ErW&lid=1yCchXqTVeg,1-3年,学历不限,"区域: 管城回族区
商圈: 东建材
领域: 企业服务
性质: 未融资
规模: 0-20人
技能标签: B端产品
福利标签: 节假日加班费 团建聚餐 年终奖 零食下午茶 节日福利 法定节假日三薪 带薪年假 夜班补助 餐补 底薪加提成 绩效奖金 全勤奖 工龄奖 有无线网 高温补贴 员工旅游 保底工资 加班补助 通讯补贴 五险一金
原始经验: 1-3年
原始学历: 学历不限",41-谭莎,谭莎,,,,
UU跑腿,"岗位职责】—— 来自BOSS直聘专注“设计逻辑与流程” 
场景挖掘与定义：深入即时配送业务一线（用户下单、骑手接单、配送中异常处理），识别并定义⾼价值的AI应⽤场景（如：地址模糊识别、骑⼿语音助手、智能客服安抚）。
Prompt Engineering与模型调优：负责核⼼业务场景的 提示词（Prompt）设计与优化，构建高质量的指令库（Few-shot learning），确保大模型输出的准确性与稳定性。
Agent工作流编排：利用低代码/无代码平台（如Dify, Coze, LangFlow或公司内部平台）或与研发配合，设计Agent的任务执行链路（规划->推理->工具调用->输出），实现复杂业务流程的自动化。
评测与迭代：建立大模型应用的效果评估体系（Bad Case分析、准确率、采纳率），基于数据反馈持续迭代Prompt策略和知识库（RAG）内容。
跨部门衔接（翻译官）：作为“业务”与“研发”的桥梁，将模糊的业务需求转化为具体的大模型技术需求（如：需要挂载什么知识库、需要调用哪个API），推动研发团队落地。
内部赋能：制定AI应用SOP，培训业务/运营团队如何使用AI工具提升效率",郑州·金水区,15-30K,AI大模型应用工程师,https://www.zhipin.com/job_detail/cf684d718238952b0nVy3Nu4EFZX.html?securityId=jP_GqXEyfzGFO-L1Rc26Z8y5fCbcyRTqHU27XFVvDHcuUVita7qSWBUeOXt3zayXxBgsGUo2Cwm8g-1OSo_oOE0zJf4Yhi9yyX0mRoFhlsArtk-8s4pFRNw1wGYqc-IQirJZr39Nmhy7EXEWP4rK8uV6P_kefE6Ap3MMPJKVbEBPVuhORaYqSkzzx75ZZ5bwME70yQ3mnJa4WDYc8HOXGsePfuEgH5Rd6L3uy0B0LOtT87yVeCjh0nIiHfzTE7exi7ByvYkR0mIlcSnuG9yhtzhdn-5y1aw559HOiTam0cQa&lid=1yCchXqTVeg,3-5年,本科,"区域: 金水区
商圈: 燕庄
领域: 移动互联网
性质: B轮
规模: 1000-9999人
福利标签: 补充医疗保险 零食下午茶 年终奖 节日福利 夜班补助 法定节假日三薪 定期体检 团建聚餐 带薪年假 员工旅游 五险一金 绩效奖金 免费工装 交通补助
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
中移在线,"岗位职责：
1、产品规划与定义：
（1）根据市场趋势和用户需求、竞品分析、能力调研，定义产品功能和长期愿景。
（2）管理产品路线图，确保产品迭代与市场需求同步，并符合低代码化、产品化、平台化。可持续发展，降低定制化。使用包括但不限于大模型、智能体、数字人、云应用等能力，输出有竞争力的5G消息解决方案。
（4）满足项目交付要求，快速、高效、美观。
2、用户体验：
（1）确保产品设计以用户为中心，提供卓越的用户体验。
（2）收集用户反馈，持续优化产品功能和性能。
（3）完成能力闭环，整合5G消息、智能短信、普通短信模块，实现智能丝滑无缝的短信降级；
（4）结合云应用、流程编排、智能体、刷脸认证等能力，支撑政务、金融及企业客户，完成服务通知、营销转化等场景。
（5）智能对话，运用智能知识库、智能体、文本机器人等AI能力提升对话效果，对应场景下回答准确率80%以上
（6）完成与智能导航、智能外呼、话务/在线客服坐席工作台对接，并具备任务批量发送、单独发送、定时发送等形式，完善权限体系，并支持对接客户的系统
3、进度管理：
协调研发、运营全过程，确保产品效果及进度。
4、合规与风险管理：
（1）",郑州·中原区,10-15K·13薪,高级AI产品经理（5G消息智能体）,https://www.zhipin.com/job_detail/6ed45e7da8afe52e03V-2du9GFRZ.html?securityId=beDLlTlVnvfUr-L1E7UtEW9R6CnpG8e3tQkc6b8hXXtWOvpssf0mNZBa5O_RPr2cfrquLvwN49e-J493EZ6FQTvWghIJfeUu7Zd1pbUUeHgHWqHNWr0H4Xiwgc2h76rXepQAZXG2vuKs2nWjYWwVbIzFCUR51ot36d_0PEfxIb7IlMt_Qw2LwsbmnsakV9G4TpNXfpnZNdSsTRemTO1JTTh6_ZCt7wt4NS_R7STG1HrVQhXBGEXqhjGX_JuaP5mBTNKfvDf0FG6p7JKpNCQUKpzikv19pVgHn_-qJOndA0GP188~&lid=1yCchXqTVeg,3-5年,本科,"区域: 中原区
商圈: 新郑大
领域: 互联网
性质: 未融资
规模: 10000人以上
技能标签: B端产品 机器学习类AI AI机器人
福利标签: 通讯补贴 交通补助 节日福利 餐补 补充医疗保险 五险一金 定期体检 年终奖 带薪年假
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
云劭博科技,"岗位职责：
1、主导小初高数学AI课程体系设计与知识图谱构建
2、设计智能教学策略与自适应学习路径，提升推送精准度
3、制定内容生产标准与质量评估体系，统筹题库与课程建设
4、深度协同产研团队，将学科逻辑转化为可落地的技术方案
5、跟踪行业趋势与用户需求，推动AI教研创新与团队能力提升
任职要求
1、本科及以上学历，5年以上初高中数学教研经验，3年以上AI教育产品带队经验
2、具备从0到1搭建课程体系或知识图谱的成功案例
3、熟悉AI+教育场景，能将学科需求转化为结构化技术文档
4、具备5人以上团队管理与跨部门协作经验，结果导向
5、掌握SQL、Excel等数据分析工具，具备强创新与行业洞察力",郑州·中原区,12-20K,AI智能教育-数学学科经理 有团队+项目稳定,https://www.zhipin.com/job_detail/c3de95922e241988031y09q_FFtV.html?securityId=ZBDIqDZ0g5xKW-118LETR9uV5E7xzybpG4-y0uOFG_x2PPuzV20B90m_WiTaaL0Jja5oCx7EC7QBicUsaBQqKY1ry5IwsSIq8x2l_svK6_P45LqpCC8K8e11b1tJnRLMe54jLgAjC1hzDGCcXvrSeWWy6UhW-YJPuJDLiPtKiko9NDKbXy1XRlZwQv36fnvdylT8B8w7tPYLFuzNcTaDvzRGqre22XtvQRletFjW1uG-GLkmd8FeCcy6ehg8qwDW7xGqp9hH3x5Fh9JNQMWfwvgsZrzg_6kJ-jCEeKDeCubONPV-&lid=1yCchXqTVeg,3-5年,本科,"区域: 中原区
商圈: 高新区
领域: 智能硬件
性质: 未融资
规模: 100-499人
技能标签: 大型教育机构经验 有教研经验 数学 线上教育 有教育工作经验 课程研发经验 学科应试 数据分析能力
福利标签: 保底工资 全勤奖 五险 绩效奖金 团建聚餐 带薪年假 底薪加提成 员工旅游 零食下午茶 工龄奖 生日福利
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
回巡智能,"岗位职责：
熟悉mastergo
1、对所负责的产品整个生命周期的负责，持续性对产品优化，确保产品质量；
2、负责产品的市场调研、需求分析、产品规划、原型设计、功能设计；
3、负责项目的执行和效果评估以及后续改进工作；
4、协助开发、测试团队理解和掌握需求，对产品需求方向和易用性负责；
5、负责把控产品的开发周期和进度，并对产品开发质量负责；
6、负责产品团队管理和推进工作，包括研发、交付、成本、质量等方面；
7、负责产品上线后的使用效果分析、竞品分析、迭代开发管理；
8、负责信息的上传下达及团队内外的协调沟通，及与客户现场沟通。",郑州·中原区,8-13K,AI产品经理,https://www.zhipin.com/job_detail/99833bc426c2b4d003d53Nu8EVJS.html?securityId=XhArscEvuKFoC-C113U0CXreh_kB2E2pSKD-uP_Cy66iVOGnv3-5DdhM1mafiQDTftt8koXk7lEgakZ3xYmbQG8BN7x-zUUYnUdGSsDHW4C7xBR_cBwiHAlu4OPssiNPfIIhZntw1IVJJJ2gPR1RL5-AQasD4wLtGOGKxJrxuIDx7A_nAa9Nn92-G6wzvT6opH6Zxb5eZn5K8bKfa3bsFYzYV_8PiwJGYRftcw8GoD-wQXTPDP2DfqvauQGlo6YWd5X2k3yTCgTs6EQ4j1Tb1-1BBmANl7JyZcmfi0Qn_ktbd0w~&lid=1yCchXqTVeg,1-3年,本科,"区域: 中原区
商圈: 高新区
领域: 计算机软件
性质: 不需要融资
规模: 0-20人
技能标签: B端产品 智能医疗
福利标签: 五险一金 定期体检
原始经验: 1-3年
原始学历: 本科",41-谭莎,谭莎,,,,
蜜雪冰城,"岗位职责：
1.产品规划与设计：深入理解业务目标，结合 AIGC 技术发展趋势，负责 AI 绘画、AI 视频、智能体等营销工具 / 产品的规划与设计，制定清晰的产品路线图；
2.需求挖掘与转化：通过与业务团队协作及行业趋势分析，持续挖掘营销场景下的 AIGC 应⽤需求，进⾏优先级排序，输出详细的产品需求⽂档；
3.跨团队协作落地：与研发团队紧密合作，将产品需求转化为可执行的技术方案，推动产品研发与上线，提升 AIGC ⼯具在工作中的渗透率与使用满意度；
4.数据监控与优化：建立完善的 产品数据监控体系，持续跟踪产品关键指标（如工具使用率、产出效率、用户满意度等），分析数据背后的问题，提出优化方案并推动实施，不断提升产品体验；
5.团队赋能与培训：设计并落地AIGC工具培训体系，包括操作手册、案例库和培训课程，提升团队对 AIGC 工具的应用能力，推动团队从 “会用” 到 “用好” 的转变；
6.行业分析：紧跟 AIGC领域的最新技术，进行深入分析和对比，为产品规划和优化提供参考，确保品牌保持竞争优势。
任职要求：
1.本科及以上学历，计算机、设计类专业毕业；
2.两年及以上AI相关产品",郑州·金水区,12-15K,产品经理（AIGC方向）,https://www.zhipin.com/job_detail/7ec8e72945df63480nVz2d21GVdS.html?securityId=lha96jsrFids0-N1-q_UqTwm0xlghyxE-1gsqLeAnLDwW7Im5pkUbnBvx97LXR6JDdOIzlWgfKKniFRtAkh6tUv-xSmrbDlIrXhs6BWbrHFaUcKuX19Gttl0INyVwP-UnRz9k0whHlDlNekuqzwfAWV4rsXld4-943a60Dgb3_1__F_egUUAiVbL5kirNLZwihuKSRgN2xKRr0NqXE4kvBQFD4rxmr061KejnMiOOQKD0zNPdEjXpO83-VJrDH4PM1V0enkaN3_AuSChSKHzZCgN6uWZhwajV2lU_viRSuwqXJP3&lid=1yCchXqTVeg,1-3年,本科,"区域: 金水区
商圈: 祭城
领域: 餐饮
性质: 已上市
规模: 1000-9999人
技能标签: 视觉类AI C端产品
福利标签: 带薪年假 加班补助 生日福利 绩效奖金 高温补贴 五险一金 年终奖 节假日加班费 定期体检 员工旅游 免费工装 节日福利 免费饮品 团建聚餐 餐补 交通补助 全勤奖
原始经验: 1-3年
原始学历: 本科",41-谭莎,谭莎,,,,
某知名计算机服务公司,"岗位职责：
规划建设大模型应用平台（模型服务、Prompt 工具、知识库、MaaS、开发者社区）与行业智能体解决⽅案。
调研需求、分析竞品、撰写 PRD，设计平衡技术与体验的产品⽅案。
迭代 AI 平台核⼼能力，推动开发者生态建设。
协同跨团队推进项⽬全流程，跟踪数据并持续优化产品。
洞察 AI 前沿趋势，挖掘新场景与产品创新机会。
任职要求：
本科及以上，计算机 / AI 等相关专业，3 年 + 产品经验，有 AI 产品经验优先。
具备产品规划、需求分析与项目推进能力，擅长跨团队协作。
了解大模型、智能体等 AI 技术，熟悉主流 AI 工具，学习能力强。
文档与表达能力优秀，能抽象复杂逻辑为清晰方案。
认证资质
人力资源服务许可证
资质说明
人力资源服务许可证
人力资源服务许可证是由国家人力资源与社会保障相关部门颁发，代表人才经纪人所在企业可以合法开展人力资源相关业务的资质证件。展示标签代表该企业已上传许可证并经由平台审核验证通过。
周笑吉
 上海潓嵘企业管理...·猎头顾问",郑州,20-40K,高级ai产品经理,https://www.zhipin.com/job_detail/4e538c5056e2a26f0nZ_3N2-ElBU.html?securityId=shOTmyuk8hLky-c1oOiuHfWQikU6JkbRVQ5w4psdy8S8aYbJqVQcwwpvHIEyOhLL1wJtF8z36LAnesJMmaoUA7MxPkLDVZPYI6-UChJtJQPeJ1NybHfEDMoYZvkoYn-YPXDrp_Au2GmBxYS73W7HyGc2QBKAVKUX0ez9Ch4rzWTS9ZZSlFhPKk-Yuzf1mWUCvISJtPikYLuFfvdZL7NPOgScY02KDudc54AYwSo5M72ioMvV6aSnLkY5LYYvNzcAjSm86u9xoJi_BhA6YVcSaJtxMGQ5xeZSaXlwFZRyAJoY4n0~&lid=1yCchXqTVeg,5-10年,本科,"领域: 计算机服务
规模: 1000-9999人
技能标签: B端产品 平台 智能体
原始经验: 5-10年
原始学历: 本科",41-谭莎,谭莎,,,,
宜云健康,"岗位职责
1.负责全国各级医疗boss机构客户的全生命周期的管理工作，包括日常咨询、需求对接、产品培训、业务分析、策略制定等。及时响应客户需求，对合作客户的满意度及价值主张在院内业务落地负责；
2.负责基于国家、省市各地区医疗相关政策要求，医院的具体需求来规划持续改进的策略，包括但不限于：设计并产出以不同客户类别业务场景需求未中心的运营策略、设计实现业务场景相关的关键路径、通过GPIC管理⽅法论不断提升医院的综合管理能⼒和管理效率；
3.针对客户管理⽬标和指标，以提升转化为目标，制定相应业务策略，并不断地优化策略方案；
4.研究并输出“医护数字化管理⾏业解决方案”，沉淀通用实践案例及可复制的运营方法论
任职要求
1、本科及以上学历，有临床医护经验者优先；
2、有极强的医疗政策理解与解读能力和业务学习能力，做事耐心细致，充满责任心与自驱力；
3、有较强的逻辑思维能力，对数据敏感，善于思考总结与策略迭代；
4、极强的目标意识，优秀的执行力与探索精神；
5、有创业精神，有AI信仰，能始终保持高度的工作热情；
6、具备等级医院的医护实战管理经验者优先
薪资详情
薪资范围：6000-8000元/",郑州·中原区,6-8K·14薪,AI医疗产品-客户成功经理,https://www.zhipin.com/job_detail/516924a92c1a46980nV82dm-F1pQ.html?securityId=kVYWjR9UraQuU-u1wHMbQBkegVjQaSl_JWqzo5olqbRZkb6Sj3DAd1Q0a2a_SXXBqWPrM7jeZrR5D2Z8t0GC6J5ZN6aJVmODefCYRhChKaX8_iOgAfOQt8YDDLLgdaC6QhSTh1x08Y53yvWpDgAcJhHf8BwdU9Hkc_RmHIBJ9X1YA7zg_QQVBD_wZ-KoY9dej4vNdm-cwHUHsZmGhYMTb7YDRwoQ6VPdApqJ-i0EjcnzU5NjkEBwp-B4YUw_bmUhUTeGGQg-6wIkNu9KwcLFXHpxde7gWe-rM8p7lUgBobMZjg~~&lid=1yCchXqTVeg,3-5年,本科,"区域: 中原区
商圈: 冉屯路
领域: 医疗健康
性质: A轮
规模: 20-99人
福利标签: 带薪年假 年终奖 五险一金 股票期权
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
小熊博望,"岗位职责：
负责公司AI家装app输出内容的调优，包括不限于解决生成风格不稳定、空间规划不合理、软装搭配不协调等问题
有过AI家装设计方向的Lora训练经验；
任职要求：
具备丰富的家装 / 软装设计实战经验，拥有多风格（如现代、简约、轻奢、北欧等）成熟设计作品，对家装空间规划、色彩搭配、软装陈设等有专业且系统的认知；
对 AI + 家装领域有浓厚兴趣，具备良好的逻辑思维、创新能力与落地执⾏能⼒，能独⽴完成设计创作、提示词优化及大模型调优相关⼯作；
加分项：
有成熟的商业化的AI家装作品或者案例",郑州·金水区,12-22K·13薪,AI 家装内容设计师 / 训练专家,https://www.zhipin.com/job_detail/0beb159693ab8e570nV70tq8F1pS.html?securityId=30I8l400xo27C-h1eOX6hj9PlvVJ8r0cafvNk4pdciwxZcmJSq460VlM_nVeKAqUfvpPh0b1o2P2se_F9SUVXgYZrMqGEPR83HX6xPlxXNGnk-GBe_TCk9vDPTvqoQ_HVtZ6eQOKRQ-1Djag_jO8WOOlnJAVt0Ba_bCUnscVKOO0cK19eaaz71BVRfm8dd95YWctryYSipFqQybVv6WITFHzcw9AeP5h92vJO7fX5__R3jzbyOK5ARb1R3kU_DowHhoqDkMcJEcQDYTflOP6Q0tpMNEQdDaHhjB5HNX0DXIuxI8~&lid=1yCchXqTVeg,3-5年,本科,"区域: 金水区
商圈: CBD
领域: 互联网
性质: 未融资
规模: 100-499人
技能标签: 智能家居
福利标签: 餐补 定期体检 通讯补贴 员工旅游 法定节假日三薪 股票期权 交通补助 团建聚餐 节日福利 五险一金 生日福利 补充医疗保险 零食下午茶 年终奖 包吃 带薪年假
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
郑州泉行智数科技,"任职要求】
学历背景：本科及以上学历，计算机科学、人工智能、项目管理、软件工程等相关专业优先。
核心经验：2年以上项目管理经验，熟悉AI项目的技术特性、落地难点及全生命周期管理流程。
能力要求：具备出色的项目规划能力、风险识别与问题解决能力，能在高压环境下推进多线程任务；拥有优秀的跨部门协作与客户沟通能力，能精准传递项目信息、管理客户期望及需求变更。
【薪资待遇】10-20k，具体根据面试结果定薪
【工作时间与休假】根据项目情况而定
【工作地点】
郑东新区中道东路与时梗街交叉口创智天地大厦5楼503
备注：全职不接受实习、兼职，项目涉密，工作期间公区域禁止携带手机，可以在行政区域使用。",郑州·金水区,10-15K,数据标注-AI外呼项目经理,https://www.zhipin.com/job_detail/02c6d463f43d404d0nR-2tu_FFdV.html?securityId=0msq_fQdftt6--L1Zz41td5W7BS2Xz5VJB5mS0u2J6b92MmULJ4Z9G05TQqfX1PGbFAsCuSWrm-HQ4HPda-tYXpzUx6UDQsuIJVdbLK1kKvmCwGJbDXtHnTRnMxOFN55nHlI7GUZDRTd-XI0SVvZWTEyCjz7xMkFaIRZzprb8SCP-NSRUkU1ULpD5tNNHWI8mTRFoxbZJNYnG5nq4F-dALiDezYKgPkJTha0eUnH6jou0Jj1AS_SAPFhPJJWYTjhFtVs1WQNNU6ictOI-JbCgtHzDY35jBzQEazxuNneyDKD5e30&lid=1yCchXqTVeg,1-3年,本科,"区域: 金水区
商圈: 祭城
领域: 互联网
性质: 未融资
规模: 100-499人
福利标签: 底薪加提成 保底工资 加班补助 零食下午茶 绩效奖金 节日福利
原始经验: 1-3年
原始学历: 本科",41-谭莎,谭莎,,,,
数智教育,"任职要求：
1、研究生及以上学历，人工智能、计算机、软件工程、机器人工程等相关专业优先；
2、对AI信息化方向有浓厚兴趣（对过往经验不做硬性限制）；
3、具备快速学习能力；拥有强大的抗压韧性和自驱力；富有创新精神，乐于提出并实践创新想法；
4、理解AI技术的基本原理与能力边界，对AI工具较熟悉，能进行AI产品的场景挖掘、需求分析、功能设计及效果评估；
5、熟悉产品研发生命周期各阶段工作，能开展市场分析、产品规划、方案设计、项目推进等工作，具备一定的项目管理能力。
杨博今日活跃
 数智教育·招聘者",郑州·新郑市,8-13K·14薪,产品经理（AI信息化方向）,https://www.zhipin.com/job_detail/a1675aabf5d019e60nZ62Nu6GFJZ.html?securityId=eLyDlDqhn4i4E-W17_1F6AUrdKiUJ_0Ml8A8BQfsPOrw7dq5gJhvLgeT8_O_I-Ew2K3uuHAGNLQNRqbrd7lGui1GI3wiDKtiD_OOc59rviF76-SlLL0u3YAGiAAwEv43jfABknR8UfpeBizYAMqLS8zSD34L8L_rdgt2mLaX4L51-epuS5QcgBB_hQINWV2ex1EOmW5J4Wq8WxHCZf92aouFGq1RueYMADFISbU_cEI9BCZJpfh7AtMIXBDtjNmhc137orwKkbnmIFoD_GGIFRy83GvPMf6qFb6USGUpG2h9IPk~&lid=1yCchXqTVeg,经验不限,硕士,"区域: 新郑市
商圈: 航空港区
领域: 计算机服务
性质: 天使轮
规模: 20-99人
技能标签: B端产品 对接客户AI产品需求 政务信息化及AI应用 智能医疗 高校信息化及AI应用 福利健全 高校AI课程讲师 人工智能学习平台
福利标签: 绩效奖金 五险一金 底薪加提成 保底工资
原始经验: 经验不限
原始学历: 硕士",41-谭莎,谭莎,,,,
黄河科技,"负责规划和设计AI计算服务器产品-----华为昇腾AI计算单元等，与市场的客户需求结合，打造专业的AI解决方案。将与跨职能团队紧密协作，来推动产品从概念到市场的全过程，确保产品能有效链接到各行业客户的AI解决方案需求中去。
主要职责
- 市场洞察：调研和分析AI计算市场及各行业需求，识别市场机会，理解客户痛点。
- 产品策略：制定AI计算服务器产品战略，包括产品定位、目标市场定义和价值主张。
- 需求规划：收集和定义产品需求文档，与研发团队沟通以确保产品功能和性能满足行业客户的期望。
- 项目管理：负责产品的整个生命周期管理，确保按时按质完成产品开发、测试和上市等各阶段工作。
- 合作伙伴管理：与合作伙伴建立和维护良好的关系，共同推动AI解决方案在各行业的落地应用。
- 市场推广：与市场团队合作，规划和协助市场团队对产品的销售和计划，包括产品应用方向和方案的产出、宣传和销售策略等。
职位要求
- 本科以上学历，计算机科学、人工智能或相关领域。
- 3年以上产品管理或相关领域工作经验，有AI",郑州·金水区,12-20K,产品经理（AI计算服务器应用方向）,https://www.zhipin.com/job_detail/5bddf4fccceabb891Hd-2dW5ElVW.html?securityId=2ytCkknFJYmzV-R1N8t3rT3egzVZZvTmV8JLZCj_zPwJmPqfY9mTfWNZB0ifpUVNL6pQLUYTwe3Gn20mSRbtELsMTHkFBS14HUAj0cAtzsJKh-5OlOPfiTERhcvvK6rXNKql8mnDPoDIt4eb1br7pJqqlnkZRAB3oOyoXplTnhO7UJwu70tVQbu3ly5pwcfJQ5qBatJT3noXZrWwVfYOMJKxlK42NNBVplongFO_eJr6jJruzKuPf7Lqtya84gHz5p04n0jsEe2t4XsYWpCgfbrT0y_2dXlOEiEE7BDGRFJl0Lw~&lid=1yCchXqTVeg,3-5年,本科,"区域: 金水区
商圈: 祭城
领域: 计算机硬件
性质: 未融资
规模: 500-999人
技能标签: B端产品
福利标签: 包吃 免费班车 五险一金 交通补助 餐补 住房补贴
原始经验: 3-5年
原始学历: 本科",41-谭莎,谭莎,,,,
